state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,negative,pending,hospitalized,death,total,lastUpdateEt,checkTimeEt,dateModified,dateChecked
AK,22,1,1,1,1,A,4,946,,0,,968,3/21 16:30,3/22 16:49,2020-03-21T20:30:00Z,2020-03-22T20:49:00Z
AL,138,1,1,0,0,C,2,1464,,,0,1602,3/22 10:37,3/22 16:00,2020-03-22T14:37:00Z,2020-03-22T20:00:00Z
AR,165,1,1,1,1,A,4,711,119,13,0,995,3/22 13:45,3/22 15:15,2020-03-22T17:45:00Z,2020-03-22T19:15:00Z
AZ,152,1,1,1,0,B,3,282,87,,2,521,3/22 00:00,3/22 16:01,2020-03-22T04:00:00Z,2020-03-22T20:01:00Z
CA,1536,1,1,1,0,B,3,11304,,,27,12840,3/22 13:34,3/22 14:41,2020-03-22T17:34:00Z,2020-03-22T18:41:00Z
CO,475,1,1,1,1,A,4,4075,,49,5,4550,3/21 18:00,3/22 16:02,2020-03-21T22:00:00Z,2020-03-22T20:02:00Z
CT,223,1,1,1,1,A,4,2877,,43,5,3100,3/21 19:30,3/22 16:51,2020-03-21T23:30:00Z,2020-03-22T20:51:00Z
DC,98,1,1,1,1,A,4,957,,,1,1055,3/21 19:30,3/22 16:23,2020-03-21T23:30:00Z,2020-03-22T20:23:00Z
DE,56,1,1,0,0,C,2,36,,,0,92,3/22 16:15,3/22 16:52,2020-03-22T20:15:00Z,2020-03-22T20:52:00Z
FL,830,1,1,1,1,A,4,7990,963,185,13,9783,3/22 11:00,3/22 16:26,2020-03-22T15:00:00Z,2020-03-22T20:26:00Z
GA,600,1,1,1,1,A,4,3420,,,23,4020,3/22 12:00,3/22 16:28,2020-03-22T16:00:00Z,2020-03-22T20:28:00Z
HI,48,1,1,1,1,A,4,263,,,,311,3/21 18:00,3/22 16:29,2020-03-21T22:00:00Z,2020-03-22T20:29:00Z
IA,90,1,1,0,0,C,2,1215,,,,1305,3/22 00:00,3/22 16:31,2020-03-22T04:00:00Z,2020-03-22T20:31:00Z
ID,42,1,1,1,1,A,4,1175,,,0,1217,3/21 19:55,3/22 16:32,2020-03-21T23:55:00Z,2020-03-22T20:32:00Z
IL,1058,1,1,1,1,A,4,7271,,,9,8329,3/22 00:00,3/22 16:34,2020-03-22T04:00:00Z,2020-03-22T20:34:00Z
IN,201,1,1,1,0,B,3,1293,,1,6,1494,3/13 00:59,3/22 16:35,2020-03-13T04:59:00Z,2020-03-22T20:35:00Z
KS,64,1,1,1,0,B,3,417,,,2,481,3/21 11:00,3/22 16:37,2020-03-21T15:00:00Z,2020-03-22T20:37:00Z
KY,99,1,1,1,1,A,4,1472,,,3,1571,3/22 09:00,3/22 16:38,2020-03-22T13:00:00Z,2020-03-22T20:38:00Z
LA,837,1,1,1,1,B,4,2661,,,20,3498,3/22 10:00,3/22 16:38,2020-03-22T14:00:00Z,2020-03-22T20:38:00Z
MA,646,1,1,0,1,B,3,5482,,71,5,6128,3/22 16:00,3/22 16:56,2020-03-22T20:00:00Z,2020-03-22T20:56:00Z
MD,244,1,0,0,0,D,1,94,,,3,338,3/22 10:00,3/22 16:40,2020-03-22T14:00:00Z,2020-03-22T20:40:00Z
ME,89,1,1,1,1,A,4,2264,,,,2353,3/22 12:15,3/22 16:48,2020-03-22T16:15:00Z,2020-03-22T20:48:00Z
MI,1035,1,0,0,0,D,1,2069,,,8,3104,3/22 15:00,3/22 16:19,2020-03-22T19:00:00Z,2020-03-22T20:19:00Z
MN,169,1,1,1,1,A,4,4511,,12,1,4680,3/21 12:10,3/22 16:47,2020-03-21T16:10:00Z,2020-03-22T20:47:00Z
MO,90,1,1,0,0,C,2,369,,,3,459,3/21 22:00,3/22 15:38,2020-03-22T02:00:00Z,2020-03-22T19:38:00Z
MS,207,1,1,1,0,B,3,1114,,33,1,1321,3/22 11:20,3/22 15:30,2020-03-22T15:20:00Z,2020-03-22T19:30:00Z
MT,31,1,1,1,0,B,3,1146,,,,1177,3/22 00:00,3/22 16:45,2020-03-22T04:00:00Z,2020-03-22T20:45:00Z
NC,255,1,1,1,1,A,4,6183,,,0,6438,3/22 10:16,3/22 16:44,2020-03-22T14:16:00Z,2020-03-22T20:44:00Z
ND,28,1,1,1,0,B,3,1260,,3,0,1288,3/22 11:39,3/22 15:41,2020-03-22T15:39:00Z,2020-03-22T19:41:00Z
NE,48,1,1,1,1,A,4,356,,,0,404,3/21 00:00,3/22 16:44,2020-03-21T04:00:00Z,2020-03-22T20:44:00Z
NH,65,1,1,1,0,B,3,1188,959,,,2212,3/21 09:00,3/22 16:43,2020-03-21T13:00:00Z,2020-03-22T20:43:00Z
NJ,1914,1,1,1,0,B,3,327,49,,20,2290,3/22 13:30,3/22 16:43,2020-03-22T17:30:00Z,2020-03-22T20:43:00Z
NM,57,1,1,1,1,A,4,4722,,,,4779,3/21 00:00,3/22 16:42,2020-03-21T04:00:00Z,2020-03-22T20:42:00Z
NV,190,1,1,1,1,A,4,2448,,,2,2638,3/21 14:00,3/22 16:41,2020-03-21T18:00:00Z,2020-03-22T20:41:00Z
NY,15168,1,1,0,1,B,3,46233,,1974,114,61401,3/22 11:00,3/22 15:15,2020-03-22T15:00:00Z,2020-03-22T19:15:00Z
OH,351,1,0,0,0,D,1,140,,83,3,491,3/20 14:00,3/22 16:13,2020-03-20T18:00:00Z,2020-03-22T20:13:00Z
OK,67,1,1,1,1,A,4,669,102,11,2,838,3/22 08:00,3/22 15:38,2020-03-22T12:00:00Z,2020-03-22T19:38:00Z
OR,161,1,1,1,1,A,4,2864,,43,4,3025,3/22 11:00,3/22 15:53,2020-03-22T15:00:00Z,2020-03-22T19:53:00Z
